Director,Star1
Walter Salles,Gael García Bernal
Alfonso Cuarón,Yalitza Aparicio
Francis Lee,Josh O'Connor
David Leitch,Ryan Reynolds
Taylor Sheridan,Kelsey Asbille
Jordan Peele,Daniel Kaluuya
Christopher McQuarrie,Tom Cruise
Hannes Holm,Rolf Lassgård
Jemaine Clement,Taika Waititi
James Simone,Hiromasa Yonebayashi
James Marsh,Eddie Redmayne
Matthew Vaughn,Colin Firth
Josh Boone,Shailene Woodley
Alfonso Gomez-Rejon,Thomas Mann
Alejandro G. Iñárritu,Michael Keaton
Abdellatif Kechiche,Léa Seydoux
Abhishek Kapoor,Amit Sadh
Felix van Groeningen,Veerle Baetens
Anthony Russo,Joe Russo
Imtiaz Ali,Ranbir Kapoor
Alexander Payne,Bruce Dern
Rich Moore,John C. Reilly
Mark Osborne,Jeff Bridges
Tony Kaye,Adrien Brody
Woody Allen,Owen Wilson
Christopher Miller,Phil Lord
Alfonso Cuarón,Sandra Bullock
J.J. Abrams,Chris Pine
Cary Joji Fukunaga,Abraham Attah
David Fincher,Jesse Eisenberg
Matthew Vaughn,James McAvoy
Todd Phillips,Zach Galifianakis
Sam Mendes,Daniel Craig
David O. Russell,Bradley Cooper
Ben Affleck,Ben Affleck
Marc Webb,Zooey Deschanel
David Yates,Daniel Radcliffe
Hayao Miyazaki,Cate Blanchett
Ron Howard,Frank Langella
Satoshi Kon,Megumi Hayashibara
Clint Eastwood,Angelina Jolie
Rob Reiner,Madeline Carroll
Mamoru Hosoda,Riisa Naka
Shûsuke Kaneko,Tatsuya Fujiwara
Shane Meadows,Thomas Turgoose
Alex Garland,Alicia Vikander
Susanne Bier,Mads Mikkelsen
Kevin Macdonald,James McAvoy
David Fincher,Jake Gyllenhaal
Paul McGuigan,Josh Hartnett
Christian Carion,Diane Kruger
Anton Corbijn,Sam Riley
Nathan Greno,Byron Howard
Paul Verhoeven,Carice van Houten
Ang Lee,Jake Gyllenhaal
James Mangold,Russell Crowe
Paul Haggis,Don Cheadle
Stephen Chow,Stephen Chow
Paul Greengrass,Matt Damon
Brad Anderson,Christian Bale
Taylor Hackford,Jamie Foxx
Mike Newell,Daniel Radcliffe
Tony Scott,Denzel Washington
Henry Selick,Dakota Fanning
Todd Haynes,Mark Ruffalo
Aneesh Chaganty,John Cho
Quentin Tarantino,Leonardo DiCaprio
Andrey Zvyagintsev,Maryana Spivak
Sean Baker,Brooklynn Prince
Destin Daniel Cretton,Michael B. Jordan
Marc Webb,Chris Evans
Tyler Nilson,Michael Schwartz
Sebastian Schipper,Laia Costa
Deniz Gamze Ergüven,Günes Sensoy
James Gunn,Chris Pratt
Edgar Wright,Ansel Elgort
Joseph Kosinski,Josh Brolin
Steven Spielberg,Tom Hanks
Brad Bird,Craig T. Nelson
Ron Clements,John Musker
Denis Villeneuve,Emily Blunt
Ryan Coogler,Michael B. Jordan
Andrey Zvyagintsev,Aleksey Serebryakov
David Mackenzie,Chris Pine
Stephen Frears,Judi Dench
Matt Reeves,Gary Oldman
Oriol Paulo,Jose Coronado
Gareth Evans,Iko Uwais
David Ayer,Jake Gyllenhaal
Hiromasa Yonebayashi,Amy Poehler
Bradley Cooper,Lady Gaga
Ethan Coen,Joel Coen
Susanne Bier,Mikael Persbrandt
Pierre Coffin,Chris Renaud
Jonathan Levine,Joseph Gordon-Levitt
Matthew Vaughn,Aaron Taylor-Johnson
Daniel Monzón,Luis Tosar
Bennett Miller,Brad Pitt
Pedro Almodóvar,Antonio Banderas
Ruben Fleischer,Jesse Eisenberg
Dennis Gansel,Jürgen Vogel
Guy Ritchie,Robert Downey Jr.
John Lee Hancock,Quinton Aaron
Tom McCarthy,Richard Jenkins
Gabriele Muccino,Will Smith
David Cronenberg,Naomi Watts
Matthew Vaughn,Charlie Cox
Tomm Moore,Nora Twomey
Spike Lee,Denzel Washington
Ben Affleck,Morgan Freeman
Olivier Dahan,Marion Cotillard
Ronny Yu,Jet Li
Neil Burger,Edward Norton
Shane Meadows,Paddy Considine
David Yates,Daniel Radcliffe
Zack Snyder,Gerard Butler
Woody Allen,Scarlett Johansson
Zack Snyder,Jackie Earle Haley
Andrew Niccol,Nicolas Cage
James Wan,Cary Elwes
Charlie Kaufman,Philip Seymour Hoffman
Gregg Araki,Brady Corbet
Jean-Pierre Jeunet,Audrey Tautou
Marc Forster,Johnny Depp
Eric Bress,J. Mackye Gruber
